accommodates,bedrooms,beds,bathrooms,room_type,property_type,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,number_of_reviews,reviews_per_month,latitude,longitude,location,price_clean,has_reviews
2,1,1,1.0,Entire home/apt,Entire rental unit,5.0,5.0,5.0,5.0,1,1.0,45.44494841878189,12.326010290342312,Venice,115,1
4,2,2,1.0,Entire home/apt,Entire rental unit,4.97,4.97,4.82,4.84,38,2.22,45.49160939999999,12.2431606,Venice,165,1
5,2,4,1.0,Entire home/apt,Entire rental unit,5.0,4.98,4.88,4.96,91,5.15,45.5016256591749,12.252510704014568,Venice,76,1
13,7,12,5.0,Entire home/apt,Entire rental unit,4.92,5.0,4.92,4.92,13,0.8,45.434374,12.333481,Venice,1323,1
8,3,3,1.0,Entire home/apt,Entire condo,4.65,4.64,4.66,4.64,95,5.37,45.4746215,12.2222754,Venice,290,1
3,2,0,1.0,Entire home/apt,Entire rental unit,4.86,5.0,4.86,4.86,7,0.59,45.4335436,12.3572959,Venice,191,1
2,1,1,1.0,Entire home/apt,Entire rental unit,4.33,4.35,4.61,4.08,51,2.93,45.4435632,12.335996,Venice,163,1
4,2,3,2.0,Entire home/apt,Entire rental unit,4.56,4.88,4.88,4.36,25,1.55,45.44159441639287,12.334348808763062,Venice,454,1
4,1,0,1.0,Entire home/apt,Entire rental unit,4.41,4.45,4.7,4.34,188,10.56,45.44059314446119,12.340208567539603,Venice,161,1
4,1,0,1.0,Entire home/apt,Entire rental unit,5.0,5.0,5.0,5.0,3,0.17,45.50207,12.27054,Venice,93,1
2,1,1,1.0,Entire home/apt,Entire rental unit,4.94,4.89,5.0,4.83,18,1.04,45.43561740903076,12.342046312987804,Venice,161,1
2,1,1,2.0,Entire home/apt,Entire home,4.98,4.99,4.95,4.9,84,4.89,45.42916,12.32964,Venice,368,1
4,1,2,1.0,Entire home/apt,Entire rental unit,4.77,4.66,4.91,4.59,44,2.58,45.4355205,12.3473786,Venice,121,1
5,3,4,2.0,Entire home/apt,Entire rental unit,5.0,5.0,5.0,4.86,49,2.98,45.4296975,12.3255358,Venice,303,1
6,3,3,1.5,Entire home/apt,Entire home,4.33,4.33,5.0,4.67,3,0.19,45.43110988741257,12.358273415344229,Venice,172,1
4,1,2,1.0,Entire home/apt,Entire rental unit,4.55,4.39,4.82,4.45,38,2.21,45.4355267,12.347546,Venice,128,1
4,2,2,2.0,Entire home/apt,Entire rental unit,4.86,4.8,4.91,4.71,57,3.23,45.4355267,12.347546,Venice,138,1
4,1,2,2.0,Entire home/apt,Entire rental unit,4.83,4.77,4.96,4.57,54,3.1,45.43458,12.34776,Venice,190,1
4,1,2,1.0,Entire home/apt,Entire rental unit,5.0,4.95,4.79,4.95,19,1.21,45.49437,12.23515,Venice,98,1
6,3,3,3.0,Entire home/apt,Entire condo,5.0,5.0,5.0,4.95,19,4.71,45.4341383,12.3294161,Venice,688,1
3,1,0,1.0,Entire home/apt,Entire rental unit,4.82,4.89,4.89,4.65,57,3.31,45.44066105625228,12.32923373579979,Venice,110,1
2,1,1,2.0,Private room,Private room in rental unit,4.59,4.41,4.48,4.62,58,3.29,45.4921431,12.2360525,Venice,56,1
5,2,3,1.0,Entire home/apt,Entire rental unit,5.0,5.0,5.0,5.0,2,0.12,45.38355956901671,12.347775538637608,Venice,218,1
4,2,1,2.0,Entire home/apt,Entire condo,5.0,5.0,4.0,4.0,1,0.1,45.4260115244387,12.336370115964414,Venice,402,1
4,3,3,1.5,Entire home/apt,Entire rental unit,4.79,4.95,4.95,4.47,19,1.19,45.4342497,12.3380386,Venice,346,1
6,3,3,1.0,Entire home/apt,Entire rental unit,4.75,4.75,4.5,4.5,4,0.24,45.48676972688056,12.23490318406775,Venice,210,1
2,1,1,1.0,Private room,Private room in home,4.69,4.72,4.63,4.63,32,1.91,45.50218223108736,12.3291403693919,Venice,199,1
3,1,2,3.0,Private room,Private room in home,4.59,4.53,4.94,4.47,34,2.03,45.43713,12.34135,Venice,113,1
4,2,2,2.0,Entire home/apt,Entire home,5.0,5.0,5.0,5.0,2,0.12,45.43621440463259,12.32606802317945,Venice,313,1
3,2,3,2.0,Private room,Private room in vacation home,4.44,4.31,4.56,4.41,32,2.03,45.484294907289765,12.233777702537084,Venice,108,1
6,2,4,1.0,Entire home/apt,Entire rental unit,4.85,5.0,4.9,4.85,20,1.21,45.4384442,12.3434229,Venice,214,1
4,2,3,1.0,Private room,Private room in vacation home,4.27,4.22,4.38,4.27,45,2.84,45.4866,12.23423,Venice,121,1
2,1,0,1.0,Entire home/apt,Entire condo,4.69,4.69,4.92,4.64,39,2.3,45.4451925124008,12.32933299738253,Venice,120,1
2,1,1,1.0,Private room,Private room in home,4.94,4.88,4.94,4.65,17,0.98,45.44458366704815,12.32874725333136,Venice,161,1
5,2,2,1.0,Entire home/apt,Entire home,5.0,4.83,5.0,4.5,6,0.35,45.4320966,12.3259729,Venice,280,1
4,2,3,1.0,Entire home/apt,Entire rental unit,4.95,4.99,4.88,4.91,106,7.05,45.43480990859252,12.347498372482798,Venice,178,1
2,1,1,1.0,Private room,Private room in home,4.68,4.89,4.86,4.62,37,2.09,45.44347,12.32873,Venice,147,1
5,2,4,1.0,Private room,Private room in home,4.67,4.72,4.84,4.58,43,2.53,45.44303,12.32729,Venice,254,1
4,2,0,1.0,Entire home/apt,Entire rental unit,4.63,4.75,4.75,4.58,24,1.43,45.44877287012427,12.326922148211034,Venice,172,1
4,2,2,3.0,Entire home/apt,Entire home,4.85,4.82,4.91,4.77,94,5.56,45.43869,12.33335,Venice,243,1
4,1,2,1.0,Entire home/apt,Entire rental unit,4.74,4.89,4.91,4.66,80,4.59,45.43922,12.3322,Venice,143,1
4,2,2,1.0,Entire home/apt,Entire rental unit,4.95,4.94,4.86,4.92,65,4.05,45.49061160000001,12.248766328836052,Venice,115,1
5,2,3,2.0,Entire home/apt,Entire home,5.0,5.0,4.0,4.0,1,0.07,45.4350384,12.3238682,Venice,302,1
9,3,5,1.0,Entire home/apt,Entire home,4.5,4.5,4.88,4.63,8,0.46,45.50610813042696,12.286796361593616,Venice,158,1
2,1,1,1.0,Private room,Private room in rental unit,4.23,4.18,4.21,4.47,57,3.53,45.486207168729145,12.245610596434018,Venice,36,1
2,1,1,1.0,Private room,Private room in rental unit,4.0,4.07,3.85,4.19,27,1.77,45.48628614739028,12.245412112966916,Venice,36,1
2,1,1,1.0,Entire home/apt,Entire rental unit,4.88,4.88,4.63,4.5,8,0.48,45.45886,12.35622,Venice,160,1
4,2,6,2.0,Entire home/apt,Entire rental unit,5.0,5.0,5.0,5.0,3,0.18,45.4456299422899,12.333135344088078,Venice,225,1
3,1,2,1.0,Private room,Private room in rental unit,4.23,4.3,4.3,4.3,40,2.47,45.48789,12.24496,Venice,45,1
5,1,4,1.0,Private room,Private room in rental unit,4.37,4.33,4.43,4.36,75,4.66,45.48765,12.24426,Venice,72,1
6,3,7,2.5,Entire home/apt,Entire home,5.0,4.97,4.92,4.95,38,2.24,45.4369971,12.3199155,Venice,1047,1
3,1,1,1.0,Private room,Private room in rental unit,4.19,4.17,4.34,4.23,53,3.29,45.48679,12.2424,Venice,41,1
3,1,2,1.0,Private room,Private room in rental unit,4.31,4.3,4.39,4.39,83,5.13,45.48833,12.2427,Venice,54,1
2,1,1,1.0,Private room,Private room in home,4.71,4.82,4.94,4.35,17,1.0,45.44417591559206,12.326451834716794,Venice,177,1
6,3,3,2.0,Entire home/apt,Entire home,5.0,5.0,5.0,5.0,1,0.07,45.43615,12.33386,Venice,644,1
3,1,1,1.0,Entire home/apt,Entire rental unit,4.77,4.68,4.77,4.68,22,1.34,45.43477,12.33352,Venice,209,1
3,1,2,1.0,Private room,Private room in home,4.73,4.82,4.91,4.27,11,0.65,45.4428,12.32786,Venice,191,1
5,2,4,2.0,Private room,Private room in home,4.6,4.85,4.74,4.45,47,2.74,45.44418,12.32854,Venice,279,1
5,2,0,2.0,Entire home/apt,Entire rental unit,5.0,5.0,5.0,5.0,17,1.09,45.43486,12.34758,Venice,550,1
6,2,3,2.0,Entire home/apt,Entire rental unit,4.99,5.0,4.83,4.94,70,4.18,45.47297,12.22073,Venice,120,1
3,1,2,1.0,Entire home/apt,Entire rental unit,5.0,4.93,5.0,5.0,14,0.82,45.4394112,12.3240797,Venice,141,1
3,1,2,1.0,Entire home/apt,Entire rental unit,5.0,4.88,5.0,4.88,8,0.54,45.43585339007764,12.337732361703887,Venice,204,1
2,1,1,1.0,Entire home/apt,Entire rental unit,4.8,4.91,4.57,4.68,69,4.13,45.48491,12.2104,Venice,34,1
7,5,0,4.0,Entire home/apt,Entire rental unit,5.0,5.0,5.0,5.0,1,0.06,45.43323,12.33471,Venice,1211,1
2,1,1,1.0,Entire home/apt,Entire rental unit,4.77,4.76,4.6,4.62,78,4.72,45.4894728,12.227742,Venice,62,1
2,1,0,1.0,Entire home/apt,Entire rental unit,4.94,4.94,4.94,4.77,31,1.88,45.43794,12.33492,Venice,200,1
2,1,0,1.0,Private room,Room in hotel,4.29,4.14,4.57,4.43,7,0.51,45.4838412247153,12.256188895341078,Venice,91,1
6,2,4,2.0,Entire home/apt,Entire rental unit,4.95,4.95,5.0,4.76,21,1.23,45.43863225974204,12.331700026988983,Venice,265,1
2,1,1,1.0,Private room,Room in hotel,4.45,4.73,4.45,4.45,55,3.38,45.48345,12.25625,Venice,80,1
3,1,2,1.0,Private room,Room in hotel,4.8,4.68,4.4,4.68,25,4.93,45.48389,12.25483,Venice,102,1
1,1,0,1.5,Private room,Private room in rental unit,4.8,4.91,4.86,4.8,88,5.34,45.4826949,12.2367964,Venice,46,1
5,2,3,1.0,Entire home/apt,Entire rental unit,4.88,4.94,4.73,4.88,52,3.06,45.48643281299843,12.216032030688474,Venice,93,1
4,2,3,1.0,Entire home/apt,Entire condo,4.9,5.0,4.83,4.76,29,1.82,45.50181,12.24612,Venice,109,1
2,1,1,1.0,Private room,Private room in rental unit,0.0,0.0,0.0,0.0,0,0.0,45.43881,12.32718,Venice,343,0
2,1,1,1.0,Entire home/apt,Entire rental unit,4.86,4.94,4.91,4.78,85,5.19,45.4336,12.34929,Venice,132,1
5,2,3,2.0,Entire home/apt,Entire home,5.0,5.0,5.0,4.9,21,1.25,45.32097,12.31787,Venice,157,1
2,1,0,1.0,Entire home/apt,Entire rental unit,4.0,4.5,3.75,4.0,4,0.26,45.4848619,12.2347311,Venice,72,1
4,2,1,2.0,Entire home/apt,Entire rental unit,5.0,5.0,4.86,5.0,7,0.43,45.3470849,12.3180916,Venice,170,1
5,1,2,1.0,Entire home/apt,Entire home,4.43,4.27,4.84,4.33,51,3.23,45.44528,12.3232,Venice,162,1
3,2,2,1.0,Entire home/apt,Entire vacation home,4.8,4.73,4.87,4.53,15,0.92,45.4423115,12.3403818,Venice,162,1
6,2,3,2.0,Entire home/apt,Entire rental unit,0.0,0.0,0.0,0.0,0,0.0,45.44296947853378,12.323769740760326,Venice,1650,0
4,2,2,1.0,Entire home/apt,Entire condo,4.46,4.44,4.79,4.51,39,2.27,45.4866171,12.2327234,Venice,80,1
2,1,2,2.5,Private room,Private room in home,0.0,0.0,0.0,0.0,0,0.0,45.44091,12.32856,Venice,93,0
6,3,0,2.0,Entire home/apt,Entire rental unit,4.31,4.62,4.88,4.23,26,1.58,45.44494,12.32203,Venice,178,1
3,1,2,1.0,Private room,Private room in rental unit,4.5,4.5,4.5,3.0,2,0.13,45.48398307576394,12.238109050111731,Venice,62,1
3,1,2,1.0,Private room,Private room in rental unit,4.53,4.58,4.47,4.53,19,1.1,45.48354572048148,12.23676193411444,Venice,62,1
2,1,1,1.0,Private room,Private room in rental unit,4.57,4.7,4.46,4.51,63,3.67,45.48417512456281,12.237348070558715,Venice,53,1
2,1,1,1.0,Private room,Private room in rental unit,4.55,4.8,4.68,4.63,65,3.88,45.48350744141607,12.236723202222292,Venice,53,1
5,2,3,1.0,Entire home/apt,Entire rental unit,4.88,4.94,4.97,4.79,34,2.05,45.434428101026455,12.34143841146996,Venice,247,1
7,3,4,2.0,Entire home/apt,Entire home,4.77,4.94,4.94,4.71,31,1.91,45.43335827279185,12.323816369975296,Venice,271,1
8,3,4,4.0,Entire home/apt,Entire rental unit,4.91,4.79,4.95,4.91,43,2.57,45.4364066,12.3442093,Venice,271,1
6,2,4,1.0,Entire home/apt,Entire rental unit,4.49,4.2,5.0,4.56,41,2.84,45.44474,12.32877,Venice,159,1
2,1,2,1.0,Entire home/apt,Entire rental unit,4.96,4.85,4.92,4.77,26,1.56,45.4375209,12.3303909,Venice,178,1
